name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kansas,2013-12-01,13.8,-4,3.7,13.8,-4,3.6,-1.4,72.3,0,0,0,,,,,5.4,104.7,1017.9,0,10.5,111.7,9.8,5,,2013-12-01T07:23:02,2013-12-01T17:00:30,0.99,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-02,13.7,1,6.7,13.7,-0.8,5.8,2.6,76.5,0,0,0,,,,,18.7,182.3,1006,9.7,11.2,117.2,10.2,5,,2013-12-02T07:24:01,2013-12-02T17:00:19,1,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-03,15.8,2.8,8.1,15.8,1.2,7.1,3.8,76.2,0,0,0,,,,,16.2,146.4,1001.3,9,9.5,113.5,9.8,5,,2013-12-03T07:24:58,2013-12-03T17:00:10,0,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-04,4.1,-5.1,0,2.1,-12.6,-5.1,-3.3,79,0.25,100,4.17,rain,,,45.4,33.4,273,1007.6,90.5,10.9,102.1,8.8,5,,2013-12-04T07:25:54,2013-12-04T17:00:03,0.02,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-05,-6.1,-9.2,-7.4,-12.3,-17.3,-14.7,-14.8,55.8,0.76,100,12.5,snow,,,51.4,39.1,318.6,1026.6,52.8,15,54,4.8,3,,2013-12-05T07:26:49,2013-12-05T16:59:58,0.04,"Snow, Partially cloudy",Becoming cloudy in the afternoon with early morning snow.,snow,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-06,-7.2,-12.8,-9.8,-14.4,-20.1,-17.2,-18.9,47.8,0,0,0,,,,37.1,25.8,261.3,1034.9,69.8,16,92.5,8,4,,2013-12-06T07:27:43,2013-12-06T16:59:56,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-07,-5.3,-16.2,-10.5,-11.9,-24,-17,-18.3,54.7,0,0,0,,,,27.7,21,76.8,1038.1,20.6,16,123.2,10.8,5,,2013-12-07T07:28:36,2013-12-07T16:59:55,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-08,-4.3,-8.3,-6.1,-4.3,-14.2,-10.6,-9.9,75.6,0.81,100,16.67,snow,,,,21.7,164.5,1021.6,94.4,8.5,61,5.4,3,,2013-12-08T07:29:27,2013-12-08T16:59:57,0.19,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-09,-8,-13.2,-11.1,-8.5,-21.7,-16.5,-16.3,66.8,0,0,0,,,,37.1,19.3,250.5,1028.2,2.7,14.9,101.1,8.8,4,,2013-12-09T07:30:18,2013-12-09T17:00:02,0.24,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-10,3.9,-11.6,-4.3,2.1,-17.2,-7.9,-11.5,58.4,0,0,0,,,,,18,193.4,1025.5,0,15.9,121,10.4,5,,2013-12-10T07:31:07,2013-12-10T17:00:08,0.3,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-11,-2.3,-11.2,-6.4,-6.1,-15,-10.8,-13.2,60.2,0,0,0,,,,46.1,28.4,238,1034.7,5.2,15,115.5,10.1,5,,2013-12-11T07:31:54,2013-12-11T17:00:16,0.35,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-12,8.8,-11.3,-1.7,6.1,-15.8,-4.6,-11.1,50.7,0,0,0,,,,34.4,19.8,185.7,1029.9,0,16,120.3,10.3,5,,2013-12-12T07:32:40,2013-12-12T17:00:27,0.39,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-13,4.1,-1.3,1.9,1.9,-5.1,-1.2,-1.2,80.4,0.27,100,8.33,"rain,snow",,,33.5,19.8,153.8,1014.6,74.1,9,60.2,5.4,3,,2013-12-13T07:33:25,2013-12-13T17:00:40,0.43,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-14,1,-7.2,-2.8,-3.9,-10.9,-8.1,-6.3,77.3,0.3,100,8.33,"rain,snow",,,50,32.5,316.4,1021.3,61.5,7.3,103.6,8.9,5,,2013-12-14T07:34:08,2013-12-14T17:00:55,0.46,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-15,12.1,-8.9,0.8,12.1,-11.7,-1,-5.8,64.7,0,0,0,,,,,15,236.8,1019.4,4.9,12.9,93.3,8,4,,2013-12-15T07:34:49,2013-12-15T17:01:12,0.48,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-16,16.8,-4.8,4.2,16.8,-7.1,3,-4,58.8,0,0,0,,,,,15,189,1017.9,0,16,115.5,10,5,,2013-12-16T07:35:29,2013-12-16T17:01:31,0.5,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-17,10.5,-5.8,1,10.5,-8.5,-0.6,-5.4,67.1,0,0,0,,,,33.5,19.1,248.8,1025.1,0,13.4,116.8,10.1,5,,2013-12-17T07:36:07,2013-12-17T17:01:52,0.5,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-18,19.9,-4,8.4,19.9,-4.1,7.3,-2.4,50.3,0,0,0,,,,48.9,32.4,192.1,1014.4,0,16,95.5,8.3,4,,2013-12-18T07:36:43,2013-12-18T17:02:15,0.51,Clear,Clear conditions throughout the day.,wind,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-19,14.1,4.1,10.5,14.1,0.2,9.7,4.9,68.7,0,0,0,,,,37.1,25.9,172,1005.9,51.1,15.7,37.6,3.3,2,,2013-12-19T07:37:18,2013-12-19T17:02:41,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-20,1.9,-7.1,-4.9,-3.4,-15.3,-10.7,-7.2,84.2,0.21,100,4.17,snow,,,40.3,32.4,315.3,1013.4,100,7.8,92.1,7.9,5,,2013-12-20T07:37:51,2013-12-20T17:03:08,0.54,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,rain,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-21,-2.2,-5.9,-4.2,-5.1,-11.7,-8.6,-6.8,82.1,7.66,100,37.5,snow,,,40.7,25.3,111.3,1009.6,91.5,7.5,21.3,1.8,1,,2013-12-21T07:38:22,2013-12-21T17:03:37,0.57,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-22,-3.3,-14.1,-6.2,-9,-16.7,-11.6,-9.4,77.9,2.26,100,12.5,snow,,,40.7,25.9,314.8,1020.3,60.3,10.6,105.5,9.2,4,,2013-12-22T07:38:51,2013-12-22T17:04:08,0.61,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-23,-9,-15.8,-12.2,-12.1,-21.4,-16.4,-16.5,70.7,0,0,0,,,,,16.6,250.1,1036.5,66.1,12.2,98.5,8.5,5,,2013-12-23T07:39:18,2013-12-23T17:04:42,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-24,-0.9,-15.9,-7.5,-4.7,-22.5,-13,-11.4,74.3,0,0,0,,,,48.2,24.9,173,1030.1,46,12,60.5,5.2,3,,2013-12-24T07:39:43,2013-12-24T17:05:16,0.7,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-25,4.2,-6.9,-1,1.1,-9.3,-3.7,-4.5,78.4,0,0,0,,,,,18.2,247.9,1027.4,24.8,10.5,115.4,10,5,,2013-12-25T07:40:07,2013-12-25T17:05:53,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-26,10,-8.2,-0.4,7.4,-12,-2.1,-5.8,69.6,0,0,0,,,,41.9,27.2,222.1,1025.5,0.1,13.2,117.5,10.1,5,,2013-12-26T07:40:28,2013-12-26T17:06:32,0.8,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-27,13.9,-6.1,2.5,13.9,-8.1,2.1,-4,65.9,0,0,0,,,,,13.8,172.3,1025.8,0,12.9,118.5,10.3,5,,2013-12-27T07:40:47,2013-12-27T17:07:12,0.85,Clear,Clear conditions throughout the day.,clear-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-28,13.8,-0.8,5.7,13.8,-2.2,4.3,-1.8,61.2,0,0,0,,,,46.4,31.7,222,1016.6,0,16,120.8,10.4,5,,2013-12-28T07:41:04,2013-12-28T17:07:54,0.9,Clear,Clear conditions throughout the day.,wind,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-29,3.2,-11.2,-6.8,-2.1,-17.9,-13.5,-15.2,53,0,0,0,,,,50.9,34.7,305.5,1025.8,45.4,16,70.6,6,3,,2013-12-29T07:41:20,2013-12-29T17:08:38,0.94,Partially cloudy,Partly cloudy throughout the day.,wind,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-30,2.7,-12.3,-6,-0.3,-17.2,-10,-14.8,51.7,0,0,0,,,,,21.4,179.9,1025.8,27.1,16,83.3,7.2,4,,2013-12-30T07:41:33,2013-12-30T17:09:23,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2013-12-31,12.8,-8.3,1.4,12.8,-12.4,-0.1,-7.6,57.6,0,0,0,,,,57.6,37,188,1022.4,0,15.8,77.2,6.8,3,,2013-12-31T07:41:44,2013-12-31T17:10:10,1,Clear,Clear conditions throughout the day.,wind,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2014-01-01,3.8,-11.8,-7.2,0.8,-19.5,-13.8,-11.3,73.5,2.31,100,16.67,snow,,,46.4,32.2,177.6,1022,44.7,10.9,37,3.2,2,,2014-01-01T07:41:52,2014-01-01T17:10:59,0,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
kansas,2014-01-02,-7.3,-16.9,-12.4,-10.5,-23,-18.2,-17.3,67.2,0,0,0,,,,,19.4,240,1032.4,54.9,15.7,91,7.8,3,,2014-01-02T07:41:59,2014-01-02T17:11:49,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72456513920,KFOE,72450803997,KTOP,72456013996,KLWC"
